"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\TrainerMessages-v1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 13, 4, 53
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\TrainerMessages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 27, 10, 87
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\useGetChatMessages.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\useGetChats.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\useSendChatMessage.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\CompleteProfileLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\CompleteProfileMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 3, 59
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\CompleteProfileProcedures.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 4, 113
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\personalInformation\PersonalInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\personalInformation\PersonalInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 4, 88
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\personalInformation\PersonalInformationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 5, 11, 169
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\personalInformation\useGetPersonalInfo.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\personalInformation\useSetPersonalInfo.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
